Codes,Names,Borough,health,population per square kilometre,life expectancy,travel by bicycle,area of greenspace,unemployment rate,"homes with access to open space, nature, and greenspace",crime rate,deliberate fires,subjective well-being average score
E05000242,Leabridge,Hackney,0.82,14633.46,77.2,15.9,231.64,11.34,0.92,106.67,0.922508172,7.381373522
E05000246,Springfield,Hackney,0.84,14160.71,82.8,6.9,280.12,10.56,0.72,72.28,0.724361026,7.381373522
E05000247,Stoke Newington Central,Hackney,0.84,18646.07,80.61,18.8,47.35,8.14,0.56,138.74,0.560358783,7.399268582
E05000248,Victoria,Hackney,0.82,17740.05,79.97,15.8,95.75,12.01,0.68,145.55,0.677661611,7.485612846
E05000249,Wick,Hackney,0.8,7849.26,77.08,14.6,548.51,11.78,0.93,114.72,0.933919934,7.485612846
E05000250,Addison,Hammersmith and Fulham,0.86,20197.11,82.36,7.5,12.86,4.39,0.09,147.74,0.086864896,7.866022729
E05000252,Avonmore and Brook Green,Hammersmith and Fulham,0.86,13131.84,81.79,6.3,115.98,4.38,0.41,66.12,0.409507968,7.866022729
E05000253,College Park and Old Oak,Hammersmith and Fulham,0.81,2653.2,79.13,4.7,1645.73,7.91,2.4,57.71,2.399042736,7.866022729
E05000254,Fulham Broadway,Hammersmith and Fulham,0.91,17608.7,78.66,7.8,49.89,4.63,0.36,142.52,0.363954117,7.730176226
E05000255,Fulham Reach,Hammersmith and Fulham,0.86,13056.69,80.96,8,151.39,3.67,0.27,82.8,0.265481126,7.730176226
E05000256,Hammersmith Broadway,Hammersmith and Fulham,0.8,11550.72,78.64,7.3,79.76,5.46,0.42,104.4,0.419571361,7.730176226
E05000257,Munster,Hammersmith and Fulham,0.89,17479.94,82.06,8.7,63.83,2.63,0,114.08,0,7.730176226
E05000258,North End,Hammersmith and Fulham,0.86,17393.42,78.38,6.2,2514.7,8.59,0.95,115.71,0.949659898,7.730176226
E05000259,Palace Riverside,Hammersmith and Fulham,0.89,4946.66,83,9.8,367.19,1.65,0.27,102.93,0.267408758,7.730176226
E05000260,Parsons Green and Walham,Hammersmith and Fulham,0.91,12295.1,82.42,6.5,104.04,2.74,0.09,129.64,0.092528426,7.730176226
E05000261,Ravenscourt Park,Hammersmith and Fulham,0.84,8782.79,79.25,8.4,146.87,3.15,0.37,135.69,0.371074592,7.866022729
E05000262,Sands End,Hammersmith and Fulham,0.86,10310.09,80.98,7.7,218.91,4.1,0.78,79.38,0.784098643,7.730176226
